City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Naze,JP,28.3667,129.4833,74.32,90,94,8.21,overcast clouds
116,Verkhnyaya Toyma,RU,62.2349,44.9985,53.49,73,100,5.39,overcast clouds
117,Yar-Sale,RU,66.8333,70.8333,61.79,78,100,8.14,overcast clouds
118,Ponta Do Sol,PT,32.6667,-17.1,70.0,73,62,10.33,broken clouds
119,Georgetown,MY,5.4112,100.3354,80.53,94,40,5.99,scattered clouds
120,Hithadhoo,MV,-0.6,73.0833,83.52,68,72,6.69,broken clouds
121,Butaritari,KI,3.0707,172.7902,81.3,78,75,13.98,moderate rain
122,Mundo Nuevo,MX,18.7,-95.5,76.3,88,100,7.81,overcast clouds
123,Codrington,AU,-38.2667,141.9667,53.08,63,80,19.04,broken clouds
124,Tongliao,CN,43.6125,122.2653,70.38,78,53,11.97,broken clouds
125,Katherine,AU,-14.4667,132.2667,61.12,72,83,4.61,broken clouds
126,Iqaluit,CA,63.7506,-68.5145,56.93,38,75,16.11,broken clouds
127,Bulgan,MN,48.8125,103.5347,50.68,87,0,2.37,clear sky
128,Somanda,TZ,-3.3667,33.95,70.75,54,96,8.05,overcast clouds
129,North Platte,US,41.1239,-100.7654,99.12,25,20,21.0,few clouds
130,Antalaha,MG,-14.9003,50.2788,70.97,89,55,11.56,moderate rain
131,Chuy,UY,-33.6971,-53.4616,50.25,59,68,6.02,broken clouds
132,Mitsamiouli,KM,-11.3847,43.2844,78.22,71,7,5.26,clear sky
133,Poum,NC,-20.2333,164.0167,74.1,62,4,20.18,clear sky
134,Bowen,AU,-20.0167,148.2333,64.56,82,82,7.94,broken clouds
135,Abuyog,PH,10.6667,125.05,75.6,93,54,0.72,broken clouds
136,Kapaa,US,22.0752,-159.319,81.48,71,96,8.01,overcast clouds
137,Iralaya,HN,15.0,-83.2333,77.79,91,100,10.36,overcast clouds
138,Ahuimanu,US,21.4447,-157.8378,83.35,67,29,8.01,scattered clouds
139,Jiazi,CN,22.8779,116.067,79.47,93,100,9.95,overcast clouds
140,North Bend,US,43.4065,-124.2243,67.24,81,100,9.22,overcast clouds
141,Cidreira,BR,-30.1811,-50.2056,55.81,78,2,8.1,clear sky
142,Pangody,RU,65.85,74.4859,62.89,57,87,11.52,overcast clouds
143,Nova Iguacu,BR,-22.7592,-43.4511,67.71,94,100,2.3,mist
144,Rzhev,RU,56.2624,34.3282,52.36,93,100,10.4,overcast clouds
145,Nacala,MZ,-14.5428,40.6728,67.05,84,1,5.77,clear sky
146,Mehamn,NO,71.0357,27.8492,42.75,93,75,0.0,broken clouds
147,Imeni Zhelyabova,RU,58.9544,36.5956,47.37,85,100,5.61,overcast clouds
148,Port Hardy,CA,50.6996,-127.4199,55.58,76,75,11.5,broken clouds
149,Mount Isa,AU,-20.7333,139.5,55.17,54,98,5.75,overcast clouds
150,Balkanabat,TM,39.5108,54.3671,82.9,24,0,4.38,clear sky
151,Te Anau,NZ,-45.4167,167.7167,37.67,96,61,4.14,broken clouds
152,Novosheshminsk,RU,55.0651,51.2338,55.33,88,70,8.05,broken clouds
153,Alofi,NU,-19.0595,-169.9187,78.69,89,75,6.91,broken clouds
154,Mpongwe,ZM,-13.5091,28.155,54.68,66,1,5.39,clear sky
155,Saint-Augustin,CA,51.226,-58.6502,48.31,92,100,15.3,overcast clouds
156,Cayenne,GF,4.9333,-52.3333,82.44,9,20,6.91,few clouds
157,Tual,ID,-5.6667,132.75,79.05,80,87,1.32,overcast clouds
158,Pesaro,IT,43.9036,12.8903,75.94,70,0,6.73,clear sky
159,Cururupu,BR,-1.8283,-44.8683,75.52,95,98,3.67,overcast clouds
160,Lebu,CL,-37.6167,-73.65,53.1,84,100,10.54,overcast clouds
161,Ipixuna,BR,-1.7625,-48.8043,77.76,85,100,0.29,overcast clouds
162,Batagay-Alyta,RU,67.8006,130.4114,48.15,55,87,5.84,overcast clouds
