City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Los Llanos De Aridane,ES,2022-06-18 19:15:55,28.6585,-17.9182,70.12,81,40,20.71
115,Acapulco,MX,2022-06-18 19:11:23,16.8634,-99.8901,84.02,74,100,10.36
116,Bredasdorp,ZA,2022-06-18 19:15:56,-34.5322,20.0403,52.3,79,1,10.89
117,Korla,CN,2022-06-18 19:15:56,41.7597,86.1469,77.0,26,100,8.95
118,Enshi,CN,2022-06-18 19:15:56,30.3,109.4833,72.12,99,100,1.19
119,Ugoofaaru,MV,2022-06-18 19:15:57,5.6667,73.0,82.49,74,56,11.45
120,Rocha,UY,2022-06-18 19:15:57,-34.4833,-54.3333,52.61,45,0,11.61
121,Victoria,HK,2022-06-18 19:14:43,22.2855,114.1577,84.38,86,100,11.01
122,Norman Wells,CA,2022-06-18 19:15:58,65.282,-126.8329,69.84,40,75,10.36
123,Hithadhoo,MV,2022-06-18 19:15:58,-0.6,73.0833,82.81,73,100,6.31
124,Gbadolite,CD,2022-06-18 19:15:58,4.2833,21.0167,71.49,89,100,2.86
125,Cockburn Town,TC,2022-06-18 19:15:59,21.4612,-71.1419,82.13,76,100,13.31
126,Tiarei,PF,2022-06-18 19:15:59,-17.5333,-149.3333,80.62,78,14,18.54
127,Thompson,CA,2022-06-18 19:08:29,55.7435,-97.8558,78.42,21,100,15.19
128,Aleksandriya,RU,2022-06-18 19:16:00,45.0947,43.2456,70.83,55,94,5.64
129,Cidreira,BR,2022-06-18 19:16:00,-30.1811,-50.2056,53.78,57,2,13.24
130,Ahipara,NZ,2022-06-18 19:16:00,-35.1667,173.1667,59.74,88,99,3.33
131,Hermiston,US,2022-06-18 19:13:37,45.8404,-119.2895,66.18,62,100,16.11
132,Hermanus,ZA,2022-06-18 19:09:39,-34.4187,19.2345,49.8,77,5,14.61
133,Husavik,IS,2022-06-18 19:12:21,66.0449,-17.3389,48.0,67,89,10.31
134,Atikokan,CA,2022-06-18 19:16:01,48.7555,-91.6216,75.33,23,49,9.64
135,Ilulissat,GL,2022-06-18 19:09:47,69.2167,-51.1,35.62,87,75,13.8
136,Najran,SA,2022-06-18 19:15:25,17.4924,44.1277,88.45,13,100,2.21
137,Tiksi,RU,2022-06-18 19:17:02,71.6872,128.8694,47.28,99,100,2.75
138,West Wendover,US,2022-06-18 19:17:02,40.7391,-114.0733,78.01,13,0,37.98
139,Evensk,RU,2022-06-18 19:17:02,61.95,159.2333,46.31,91,94,3.94
140,Santa Rosa,PH,2022-06-18 19:17:03,14.3122,121.1114,82.38,84,26,3.2
141,Geraldton,AU,2022-06-18 19:17:03,-28.7667,114.6,63.01,72,40,11.5
142,Oussouye,SN,2022-06-18 19:17:04,12.485,-16.5469,75.38,70,100,11.39
143,Marsh Harbour,BS,2022-06-18 19:12:06,26.5412,-77.0636,80.17,65,7,3.22
144,Talnakh,RU,2022-06-18 19:12:17,69.4865,88.3972,49.17,55,10,8.95
145,Cape Town,ZA,2022-06-18 19:17:05,-33.9258,18.4232,55.89,84,75,4.0
146,Oistins,BB,2022-06-18 19:12:29,13.0667,-59.5333,86.09,66,40,19.57
147,Sao Filipe,CV,2022-06-18 19:17:05,14.8961,-24.4956,75.0,81,95,17.85
148,Trinidad,BO,2022-06-18 19:17:06,-14.8333,-64.9,76.98,47,75,10.36
149,Lavrentiya,RU,2022-06-18 19:17:06,65.5833,-171.0,51.17,50,11,4.54
150,Birpur,IN,2022-06-18 19:17:07,26.5167,87.0167,80.19,84,62,2.15
151,Huarmey,PE,2022-06-18 19:17:07,-10.0681,-78.1522,68.31,65,7,13.85
152,Mar Del Plata,AR,2022-06-18 19:17:07,-38.0023,-57.5575,56.08,45,0,14.97
153,Bathsheba,BB,2022-06-18 19:17:08,13.2167,-59.5167,86.61,66,40,19.57
154,Lenger,KZ,2022-06-18 19:17:09,42.183,69.8839,72.84,25,30,8.41
155,Nampula,MZ,2022-06-18 19:17:10,-15.1165,39.2666,62.55,82,0,6.91
